coffee_id,Country_of_Origin,Farm_Name,Lot_Number,Mill,ICO_Number,Company,Altitude,Region,Producer,Number_of_Bags,Bag_Weight,In_Country_Partner,Harvest_Year,Grading_Date,Owner,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Defects,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers,Expiration,Certification_Body,Certification_Address,Certification_Contact,parsed_expiration,parsed_grading_date
1191,Mexico,el delirio,,"yajalon, chiapas",2728,,1450,yajalon,SOCIEADAD COOPERATIVA INDUSTRIAL CAFES YAJALON S. C. L.,53,1 kg,AMECAFE,2012,August 30 2012,julio cesar robles flores,Typica,,Washed / Wet,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,,79.17,0.14,Green,0,34,0,August 30 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-08-30,2012-08-30
1152,Mexico,comonyaj noptic s de ss,,,0,comon yaj noptic s. de ss,1022,chiapas,COMONYAJ NOPTIC S DE SS,275,1 kg,AMECAFE,2013,March 29 2013,leonides de la cruz lopez,Bourbon,,Washed / Wet,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,,79.75,0.13,Green,0,4,0,March 29 2014,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2014-03-29,2013-03-29
773,Mexico,el nanchi,,"buenas vista, municipio de san bartolo tutotepec",1702764973,,1144,san bartolo tutotepec,AVILA MARTINEZ ADOLFO,10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Typica,,Washed / Wet,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,,82.17,0.15,None,1,9,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
864,Mexico,los magueyes,,en santa maria temaxcalapa,1702772155,,774,"tenango de doria, hidalgo","PEREZ LEMUS, FELIX",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Bourbon,,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,,81.75,0.13,None,2,9,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
1105,Mexico,mirador,,en coyula,1702801679,,808,"calnali, hidalgo","HERNANDEZ PACHECO, TIMOTEO",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Caturra,,Washed / Wet,7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,,80.25,0.11,None,2,8,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
946,Mexico,palantla,,"en chiatipan, municipio de huazalingo",1702771645,,763,"huazalingo, hidalgo","MARTINEZ BAUTISTA, NICOLAS",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Caturra,,Washed / Wet,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,,81.42,0.13,None,1,8,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
466,Mexico,tlapacoya,,"el chipoco, municipio de tlanchinol",1702765464,,532,"tlanchinol, hidalgo",AMADOR HERNANDEZ DIONICIO,10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Typica,,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,,83.17,0.12,None,3,8,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
1163,Mexico,el encinal,,en el progreso,1702807163,,975,"tenango de doria, hidalgo","GOMEZ GRANILLO, VERONICO",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Caturra,,Washed / Wet,7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,,79.67,0.13,None,5,6,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
829,Mexico,texpanco,,"en chiatipan, municipio de huazalingo",1702772190,,690,"huazalingo, hidalgo","FRANCISCO SAENZ, FERNANDO",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Mundo Novo,,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,,81.92,0.14,None,2,8,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
828,Mexico,platanal,,en el plan de guadalupe,1700920709,,981,"chapulhuacan, hidalgo","PONCE RUBIO, VENANCIO",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Typica,,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,,81.92,0.13,None,2,7,0,September 27 2013,AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,2013-09-27,2012-09-27
